92;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;2/8;135.00;354.30;157.00;
93;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;2/8;135.00;353.30;157.00;
94;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;2/8;127.00;353.60;157.00;
96;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;2/8;127.00;352.60;157.00;
129;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;3/7;166.00;328.40;120.00;
130;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;3/7;178.00;329.30;120.00;
131;1;AIM-9L OR -9M;AIM-9L OR -9M;3/7;195.00;329.80;120.00;
132;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;3/7;166.00;327.40;120.00;
133;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;3/7;178.00;328.30;120.00;
134;1;AIM-9L OR -9M;AIM-9L OR -9M;3/7;195.00;328.80;120.00;
135;1;AIM-9X;AIM-9X;3/7;186.00;329.30;120.00;
136;1;AIM-120A;AIM-120A;3/7;339.00;324.90;120.00;
137;1;AIM-120B;AIM-120B;3/7;341.00;324.90;120.00;
138;1;AIM-120C;AIM-120C;3/7;341.00;324.90;120.00;
139;1;AIM-120C-5 OR -6;AIM-120C-5 OR -6;3/7;355.00;324.60;120.00;
140;1;AIM-120C-7;AIM-120C-7;3/7;356.00;324.60;120.00;
141;1;AGM-65A, B INBOARD;AGM-65A, B;3/7;464.00;336.90;103.70;
142;1;AGM-65A, B CENTER;AGM-65A, B;3/7;464.00;337.60;120.00;
143;1;AGM-65A, B OUTBOARD;AGM-65A, B;3/7;464.00;336.90;136.40;
144;1;AGM-65D INBOARD;AGM-65D;3/7;486.00;335.70;103.70;
145;1;AGM-65D CENTER;AGM-65D;3/7;486.00;336.40;120.00;
146;1;AGM-65D OUTBOARD;AGM-65D;3/7;486.00;335.70;136.40;
147;1;AGM-65H INBOARD;AGM-65H;3/7;471.00;336.40;103.70;
148;1;AGM-65H CENTER;AGM-65H;3/7;471.00;337.10;120.00;
149;1;AGM-65H OUTBOARD;AGM-65H;3/7;471.00;336.40;136.40;
150;1;AGM-65A, B;AGM-65A, B;3/7;464.00;341.80;120.00;
151;1;AGM-65D;AGM-65D;3/7;486.00;340.60;120.00;
152;1;AGM-65G;AGM-65G;3/7;672.00;337.20;120.00;
153;1;AGM-65H;AGM-65H;3/7;471.00;341.30;120.00;
154;1;AGM-65K;AGM-65K;3/7;657.00;338.20;120.00;
155;1;AGM-88B, C;AGM-88B, C;3/7;770.00;325.40;120.00;
156;1;AGM-154A (JSOW);AGM-154A (JSOW);3/7;1064.00;339.30;120.00;
157;1;AGM-154/A INBOARD;AGM-154/A;3/7;1064.00;339.60;108.10;
158;1;AGM-154/A OUTBOARD;AGM-154/A;3/7;1064.00;339.60;131.90;
159;1;AGM-154/B INBOARD;AGM-154/B;3/7;1046.00;338.80;108.10;
160;1;AGM-154/B OUTBOARD;AGM-154/B;3/7;1046.00;338.80;131.90;
161;1;AGM-158A (JASSM);AGM-158A;3/7;2160.00;340.00;120.00;
162;19;ROCKETS W/MK-4 RM & M151, M156 OR WTU-1B WH;ROCKETS;3/7;22.00;336.40;120.00;
163;19;ROCKETS W/MK-4 RM & MK-1, MK-5 OR WK-61 WH;ROCKETS;3/7;18.00;336.70;120.00;
164;19;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD CENTER;ROCKETS;3/7;22.00;337.20;120.00;
165;19;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD OUTBOARD;ROCKETS;3/7;22.00;336.50;131.30;
166;19;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD CENTER;ROCKETS;3/7;18.00;337.50;120.00;
167;19;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD OUTBOARD;ROCKETS;3/7;18.00;336.90;131.30;
168;7;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD CENTER;ROCKETS;3/7;22.00;340.20;120.00;
169;7;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD OUTBOARD;ROCKETS;3/7;22.00;339.70;129.40;
170;7;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD CENTER;ROCKETS;3/7;18.00;343.20;120.00;
171;7;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD OUTBOARD;ROCKETS;3/7;18.00;342.60;129.40;
172;1;CBU-87/B, A/B, B/B, C/B;CBU-87;3/7;950.00;339.10;120.00;
